code,name,brand,pms,pms_property_id,pms_property_name,company,analytic,journal,due_by,enabled
TXE32,"COMFORT SUITES BASTROP, TX",Comfort Suites,CHOICEADV,,,,TXE32,NA,,no
TX819,"COMFORT SUITES GEORGETOWN, TX",Comfort Suites,CHOICEADV,,,,TX819,NA,,no
TXI15,NAME,Quality,CHOICEADV,,,,TXI15,NA,,no
DALDM,"TOWNEPLACE SUITES MCKINNEY, TX",Towneplace,AGILYSYS,,,,DALDM,NA,,no
LLOTX,"HOLIDAY INN EXPRESS SALADO, TX",Holiday Inn Express,HOTELKEY,,,,LLOTX,NA,,no
TXA49,"COMFORT INN & SUITES (NEAR MEDICAL CENTER) SAN ANTONIO, TX",Comfort Inn,CHOICEADV,,,,TXA49,NA,,no
SATFN,"FAIRFIELD INN & SUITES NORTH STONE OAK SAN ANTONIO, TX",Fairfield,AGILYSYS,,,,SATFN,NA,,no
SATSE,"FAIRFIELD INN BROOKS BASE SAN ANTONIO, TX",Fairfield,AGILYSYS,,,,SATSE,NA,,no
SATRG,"HOLIDAY INN EXPRESS & SUITES (BY AT&T CENTER) SAN ANTONIO, TX",Holiday Inn Express,HOTELKEY,,,,SATRG,NA,,no
TXE27,"COMFORT INN & SUITES SAN MARCOS, TX",Comfort Inn,CHOICEADV,,,,TXE27,NA,,no
TXI47,"COMFORT INN WICHITA FALLS, TX",Comfort Inn,CHOICEADV,,,,TXI47,NA,,yes
SPSKB,"HOLIDAY INN EXPRESS WICHITA, TX",Holiday Inn Express,HOTELKEY,,,,SPSKB,NA,,no
