site_code,live_code,brand,franchise,city,state,pms,name,brand_page
,,DAYS INN,WYNDHAM,OKLAHOMA CITY,OK,SYNXIS,"DAYS INN BY WYNDHAM OKLAHOMA CITY NW, OK",https://www.wyndhamhotels.com/days-inn/oklahoma-oklahoma/days-inn-oklahoma-city-nw-expressway/overview?iata=00093763&cid=PS:w33baaa2kpxwaya&gclid=CjwKCAiA0KmPBhBqEiwAJqKK45Xj8vHGFlsoG9ub59jsbKeMJG4hD6uxoeGVu40AEb8c6MyHrPn7QBoCsFMQAvD_BwE&gclsrc=aw.ds
,,DAYS INN,WYNDHAM,OKLAHOMA CITY,OK,SYNXIS,"DAYS INN BY WYNDHAM OKLAHOMA CITY WEST, OK",https://www.wyndhamhotels.com/days-inn/oklahoma-city-oklahoma/days-inn-oklahoma-city-west/overview?iata=00093763&cid=PS:o0o7ek4t99755j3&gclid=CjwKCAiA0KmPBhBqEiwAJqKK46y5C5SnkkTY63xaZuxXWfKgmpH87cq_RoGU7d7-fRR4hL1Tp9KkbBoCbAgQAvD_BwE&gclsrc=aw.ds
OKCONES,OKCON,EMBASSY SUITES,HILTON,OKLAHOMA CITY,OK,PEP,EMBASSY SUITES OKC NW EXPRESSWAY,https://www.hilton.com/en/hotels/okcones-embassy-suites-oklahoma-city-northwest/
OKCSS,,HOLIDAY INN EXPRESS,IHG,OKLAHOMA CITY,OK,HOTELKEY,Holiday Inn Express & Suites Oklahoma City Mid - Arpt Area,https://www.ihg.com/holidayinnexpress/hotels/us/en/oklahoma-city/okcss/hoteldetail
OKCEXHT,,HOME2,HILTON,OKLAHOMA CITY,OK,PEP,Home2 Suites by Hilton Oklahoma City NW Expressway,https://www.hilton.com/en/hotels/okcexht-home2-suites-oklahoma-city-nw-expressway/
,,LA QUINTA,WYNDHAM,OKLAHOMA CITY,OK,SYNXIS,La Quinta Inn & Suites by Wyndham Oklahoma City - NW Expwy,https://www.wyndhamhotels.com/laquinta/oklahoma-city-oklahoma/la-quinta-oklahoma-city-nw-expwy/overview?iata=99922675
,,OAKTREE,INDEPENDENT,OKLAHOMA CITY,OK,,Oaktree Inn & Suites - OKLAHOMA CITY OK,
,,OYO,INDEPENDENT,OKLAHOMA CITY,OK,,OYO Townhouse Oklahoma City - Penn Square,
OKCXW,,RESIDENCE INN,MARRIOTT,OKLAHOMA CITY,OK,AGILYSYS,"RESIDENCE INN MEMORIAL OKLAHOMA CITY, OK",https://www.marriott.com/en-us/hotels/okcxw-residence-inn-oklahoma-city-north-quail-springs/overview/
OKCRW,,RESIDENCE INN,MARRIOTT,OKLAHOMA CITY,OK,AGILYSYS,"RESIDENCE INN NORTHWEST EXPRESSWAY OKLAHOMA CITY, OK",https://www.marriott.com/en-us/hotels/okcrw-residence-inn-oklahoma-city-northwest/overview/
OKCRURU,,TRU,HILTON,OKLAHOMA CITY,OK,PEP,TRU BY HILTON OKC NW EXPRESSWAY,https://www.hilton.com/en/hotels/okcruru-tru-oklahoma-city-nw-expressway/
OK259,,COMFORT SUITES,CHOICE,OKLAHOMA CITY AIRPORT,OK,CHOICEADV,"COMFORT SUITES OKC AIRPORT OKLAHOMA CITY, OK",https://www.choicehotels.com/oklahoma/oklahoma-city/comfort-suites-hotels/ok259
